name,RR@10,nDCG@10,AP@100,alpha
scifact: BM25 >> gte-base-en-v1.5,0.7217248677248679,0.7599354199200085,0.7196447008280225,0.4
nfcorpus: BM25 >> gte-base-en-v1.5,0.5852277753206545,0.3648835033389884,0.1658477098902777,0.4
fiqa: BM25 >> gte-base-en-v1.5,0.5586652459337641,0.4755112826804417,0.410265321410137,0.2
quora: BM25 >> gte-base-en-v1.5,0.8877299206349185,0.8939242597475575,0.8641328903878275,0.4
hotpotqa: BM25 >> gte-base-en-v1.5,0.8608462214505407,0.6870208706781125,0.6025052628533392,0.6
dbpedia_entity: BM25 >> gte-base-en-v1.5,0.7381140873015873,0.4145428111571897,0.2837144935786726,0.3
fever: BM25 >> gte-base-en-v1.5,0.8854314598126457,0.8671614917036882,0.8401411896483609,0.1
passage: BM25 >> gte-base-en-v1.5,0.7953488372093023,0.7136709273284589,0.4086593079365484,0.2
dbpedia_entity: BM25 >> gte-base-en-v1.5,0.7381140873015873,0.4145428111571897,0.2837144935786726,0.3
fever: BM25 >> gte-base-en-v1.5,0.8854314598126457,0.8671614917036882,0.8401411896483609,0.1
passage: BM25 >> gte-base-en-v1.5,0.7953488372093023,0.7136709273284589,0.4086593079365484,0.2
