dataset,model,mean_time_per_query (ms),nDCG@10
fiqa,arctic-m,44.5988,0.4241
nfcorpus,arctic-m,5.5728,0.3619
scifact,arctic-m,14.7667,0.7471
scifact,arctic-xs,14.9,0.7128
nfcorpus,arctic-xs,5.6656,0.3408
fiqa,arctic-xs,13.7963,0.3555
fiqa,bge-base,41.2037,0.4103
nfcorpus,bge-base,18.7926,0.3623
scifact,bge-base,49.0,0.7458
fiqa,bge-small,18.5185,0.4084
nfcorpus,bge-small,8.0495,0.3593
scifact,bge-small,20.9667,0.7211
scifact,gte-base,54.3333,0.7599
nfcorpus,gte-base,17.2136,0.3649
fiqa,gte-base,43.3642,0.4755
fiqa,tct-colbert,47.9938,0.3139
nfcorpus,tct-colbert,33.7461,0.3362
scifact,tct-colbert,43.3333,0.6901
